product_key,product_code,company_key,unit,tax_pct,reorder_level,src_report,src_year,import_batch_id,processed_at,record_quality,quality_flags
2910688314698759,(CITIZEN UMBRELLA 2 FOLD-SPL - QTY - 1 ,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
554278956197094,(CROMPTON BRIO DRY IRON 1000WATTS-SPL - QTY - 1 ,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
3277132236306636,(CUTLERY SET(24PCS)-SPL - Qty,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
3964300110067777,(CUTTING EDGE SET(04PCS)ANJALI,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
1469242283152738,(DABUR ANTISEPTIC LIQUID(250ML,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
3619299989786937,(DELIGHT SERVING SET),2211870016345662.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
4271671400713361,(DETTOL COMBO SET-DSK - Qty -,3049919541420692.0,1,,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
3349335630202052,(DIGITAL THERMOMETER(AKUTEM DMT-425),3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
768996108342870,(EASTMAN TOOL KIT-SPL - QTY - 1 ,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
2021092955811885,(EVEREADY MOSQUITO RACKET PRO-SPL - QTY - 1 ,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
2905346673758114,(FACE WASH CHARCOAL 45GM(TBSC),3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
3384686651429716,(FLITE SLIPPER (PUG-72 GENTS)-,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
4070925992176970,(GILLETTE GUARD RAZOR-SPL - Qt,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
